Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2022-23,NBA,Jaren Jackson Jr.,(V),23,MEM,63,28.4,18.6,6.8,1.0,1.0,3.0,.506,.355,.788,6.6,.177,jacksja02
2021-22,NBA,Marcus Smart,(V),27,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,smartma01
2020-21,NBA,Rudy Gobert,(V),28,UTA,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,goberru01
2019-20,NBA,Giannis Antetokounmpo,(V),25,MIL,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,antetgi01
2018-19,NBA,Rudy Gobert,(V),26,UTA,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,goberru01
2017-18,NBA,Rudy Gobert,(V),25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214,goberru01
2016-17,NBA,Draymond Green,(V),26,GSW,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,greendr01
2015-16,NBA,Kawhi Leonard,(V),24,SAS,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,leonaka01
2014-15,NBA,Kawhi Leonard,(V),23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,leonaka01
2013-14,NBA,Joakim Noah,(V),28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,noahjo01
2012-13,NBA,Marc Gasol,(V),28,MEM,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197,gasolma01
2011-12,NBA,Tyson Chandler,(V),29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,chandty01
2010-11,NBA,Dwight Howard,(V),25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,howardw01
2009-10,NBA,Dwight Howard,(V),24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,howardw01
2008-09,NBA,Dwight Howard,(V),23,ORL,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,howardw01
2007-08,NBA,Kevin Garnett,(V),31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,garneke01
2006-07,NBA,Marcus Camby,(V),32,DEN,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,cambyma01
2005-06,NBA,Ben Wallace,(V),31,DET,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,wallabe01
2004-05,NBA,Ben Wallace,(V),30,DET,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153,wallabe01
2003-04,NBA,Metta World Peace,(V),24,IND,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,artesro01
2002-03,NBA,Ben Wallace,(V),28,DET,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,wallabe01
2001-02,NBA,Ben Wallace,(V),27,DET,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,wallabe01
2000-01,NBA,Dikembe Mutombo,(V),34,TOT,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,mutomdi01
1999-00,NBA,Alonzo Mourning,(V),29,MIA,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,mournal01
1998-99,NBA,Alonzo Mourning,(V),28,MIA,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,mournal01
1997-98,NBA,Dikembe Mutombo,(V),31,ATL,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,mutomdi01
